Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Algeria,DZA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.79
Algeria,DZA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.07
Algeria,DZA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.75
Algeria,DZA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.45
Algeria,DZA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,28.38
Algeria,DZA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,36.68
Algeria,DZA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,49.99
Algeria,DZA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.22
Algeria,DZA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,69.7
Algeria,DZA,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,79.96
Algeria,DZA,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,84.5
Algeria,DZA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.34
Algeria,DZA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.03
Algeria,DZA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.23
Algeria,DZA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11
Algeria,DZA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.78
Algeria,DZA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.79
Algeria,DZA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,29.62
Algeria,DZA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,38.31
Algeria,DZA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,52.9
Algeria,DZA,1965,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,60.8
Algeria,DZA,1960,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,74.14
Algeria,DZA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.24
Algeria,DZA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.04
Algeria,DZA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.64
Algeria,DZA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,45.83
Algeria,DZA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,54.6
Algeria,DZA,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,62.45
Algeria,DZA,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,72.1
Algeria,DZA,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,79.77
Algeria,DZA,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,87.39
Algeria,DZA,1965,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.64
Algeria,DZA,1960,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,87.53
Algeria,DZA,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,21.12
Algeria,DZA,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,29.6
Algeria,DZA,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,28.17
Algeria,DZA,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.89
Algeria,DZA,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,38.88
Algeria,DZA,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,45.78
Algeria,DZA,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,55.76
Algeria,DZA,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.45
Algeria,DZA,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,73.64
Algeria,DZA,1965,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,80.93
Algeria,DZA,1960,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,82.6
Algeria,DZA,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.61
Algeria,DZA,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,11.39
Algeria,DZA,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,17.03
Algeria,DZA,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,18.25
Algeria,DZA,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.47
Algeria,DZA,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,38.03
Algeria,DZA,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,48.98
Algeria,DZA,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,56.83
Algeria,DZA,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,69.7
Algeria,DZA,1965,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,91.5
Algeria,DZA,1960,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,88.54
Algeria,DZA,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.91
Algeria,DZA,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,7.12
Algeria,DZA,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,10.33
Algeria,DZA,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,12.66
Algeria,DZA,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16
Algeria,DZA,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,19.04
