Country Name,Year,Indicator Name,Value
Algeria,2010,Barro-Lee: Percentage of population age 15+ with no education,21.12
Algeria,2005,Barro-Lee: Percentage of population age 15+ with no education,29.6
Algeria,2000,Barro-Lee: Percentage of population age 15+ with no education,28.17
Algeria,1995,Barro-Lee: Percentage of population age 15+ with no education,32.89
Algeria,1990,Barro-Lee: Percentage of population age 15+ with no education,38.88
Algeria,1985,Barro-Lee: Percentage of population age 15+ with no education,45.78
Algeria,1980,Barro-Lee: Percentage of population age 15+ with no education,55.76
Algeria,1975,Barro-Lee: Percentage of population age 15+ with no education,64.45
Algeria,1970,Barro-Lee: Percentage of population age 15+ with no education,73.64
Algeria,1965,Barro-Lee: Percentage of population age 15+ with no education,80.93
