Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Algeria,DZA,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,164.5325647508
Algeria,DZA,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,149.2668981591
Algeria,DZA,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,133.5559189549
Algeria,DZA,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.00710774380396344
Algeria,DZA,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.00644827285183716
Algeria,DZA,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.00576956456534648
Algeria,DZA,2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,9357.0997471495
Algeria,DZA,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,7652.3558361744
Algeria,DZA,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,5850.9057641325
Algeria,DZA,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Algeria,DZA,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Algeria,DZA,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Algeria,DZA,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Algeria,DZA,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8
Algeria,DZA,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Algeria,DZA,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Algeria,DZA,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Algeria,DZA,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Algeria,DZA,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Algeria,DZA,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8
Algeria,DZA,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.3
Algeria,DZA,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7
Algeria,DZA,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6
Algeria,DZA,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Algeria,DZA,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Algeria,DZA,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4
Algeria,DZA,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4
Algeria,DZA,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.3
Algeria,DZA,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.3
Algeria,DZA,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.3
Algeria,DZA,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4
Algeria,DZA,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4
Algeria,DZA,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Algeria,DZA,2020,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.5526558310447
Algeria,DZA,2019,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.3886086444981
Algeria,DZA,2018,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.9335900639775
Algeria,DZA,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.7521457818965
Algeria,DZA,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.5531525527547
Algeria,DZA,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.6188658260447
Algeria,DZA,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.111122951181
Algeria,DZA,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.3802640164928
Algeria,DZA,2012,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.3968164333132
Algeria,DZA,2011,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.5721077905837
Algeria,DZA,2010,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.3952993862667
Algeria,DZA,2009,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.9720395477565
Algeria,DZA,2008,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.4799096142764
Algeria,DZA,2007,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.9305422423959
Algeria,DZA,2006,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.3355700886845
Algeria,DZA,2005,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.7066258097118
Algeria,DZA,2004,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.0945424726476
Algeria,DZA,2003,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.5018984382489
Algeria,DZA,2002,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.867944303466
Algeria,DZA,2001,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.1319306652494
Algeria,DZA,2000,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.2331081205494
Algeria,DZA,1999,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.9532603105473
Algeria,DZA,1998,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.2521407842692
Algeria,DZA,1997,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.3359550004331
Algeria,DZA,1996,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.4109084177572
Algeria,DZA,1995,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.6832064949592
Algeria,DZA,1994,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.1378105446522
Algeria,DZA,1993,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.626418510084
Algeria,DZA,1992,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.1553407959252
