Country Name,Year,Indicator Name,Value
Algeria,2010,Urban population growth (annual %),3.009838404
Algeria,2009,Urban population growth (annual %),3.012771549
Algeria,2008,Urban population growth (annual %),2.958504866
Algeria,2007,Urban population growth (annual %),2.831153613
Algeria,2006,Urban population growth (annual %),2.729545508
Algeria,2005,Urban population growth (annual %),2.675391412
Algeria,2004,Urban population growth (annual %),2.636234817
Algeria,2003,Urban population growth (annual %),2.594726616
Algeria,2002,Urban population growth (annual %),2.621600321
Algeria,2001,Urban population growth (annual %),2.688062188
Algeria,2000,Urban population growth (annual %),2.745488592
Algeria,1999,Urban population growth (annual %),2.759568014
Algeria,1998,Urban population growth (annual %),2.920056555
Algeria,1997,Urban population growth (annual %),3.211162092
Algeria,1996,Urban population growth (annual %),3.335734264
Algeria,1995,Urban population growth (annual %),3.467797855
Algeria,1994,Urban population growth (annual %),3.635134463
Algeria,1993,Urban population growth (annual %),3.852983484
Algeria,1992,Urban population growth (annual %),3.910950224
Algeria,1991,Urban population growth (annual %),3.881369202
Algeria,1990,Urban population growth (annual %),4.001491262
Algeria,1989,Urban population growth (annual %),4.185986872
Algeria,1988,Urban population growth (annual %),4.375252855
Algeria,1987,Urban population growth (annual %),4.771971246
Algeria,1986,Urban population growth (annual %),5.13615355
Algeria,1985,Urban population growth (annual %),5.274761713
Algeria,1984,Urban population growth (annual %),5.321975418
Algeria,1983,Urban population growth (annual %),5.329496192
Algeria,1982,Urban population growth (annual %),5.302461073
Algeria,1981,Urban population growth (annual %),5.240465157
Algeria,1980,Urban population growth (annual %),5.148822456
Algeria,1979,Urban population growth (annual %),5.043286335
Algeria,1978,Urban population growth (annual %),4.938399634
Algeria,1977,Urban population growth (annual %),4.689986102
Algeria,1976,Urban population growth (annual %),4.967617031
Algeria,1975,Urban population growth (annual %),3.953504755
Algeria,1974,Urban population growth (annual %),2.837680947
Algeria,1973,Urban population growth (annual %),2.772832208
Algeria,1972,Urban population growth (annual %),2.71834101
Algeria,1971,Urban population growth (annual %),2.677974261
Algeria,1970,Urban population growth (annual %),2.679216202
Algeria,1969,Urban population growth (annual %),2.69710614
Algeria,1968,Urban population growth (annual %),2.698709082
Algeria,1967,Urban population growth (annual %),2.667945683
Algeria,1966,Urban population growth (annual %),4.926324293
Algeria,1965,Urban population growth (annual %),5.588795512
